ARCH,Archive
AGET,AnimGraphEntity
NMDF,NavigationSystem
MATC,RenderMaterial
MATI,RenderMaterialInstance
MATE,RenderMaterialEffect
SCTX,ScatterTexture
SBPB,SoundBlendContainerExternalParametersBlueprint
WAVB,WaveBank
FSBF,WaveBankFSBF
FSBS,WaveBankFSBS
HLIB,HeaderLibrary
GIDX,GlobalResourceIndex
IMAP,IDMap
RLIB,ResourceLibrary
PRIM,RenderPrimitive
TEXT,RenderTexture
RESL,ResourceList
BORG,MeshBoneData
EVNT,EventTrack
RRTY,Rig
BLSP,BlendSpace
ARTY,Animation
ChrT,AnimationDatabase
TBLU,TemplateBlueprint
XREF,TemplateExternReference
AGBP,AnimGraphEntityBlueprint
SOCR,SocialResource
SCIT,SocialEntityType
SCIB,SocialEntityBlueprint
COVR,Cover
SBPD,SoundBlendContainerExternalParametersType
WBFX,WaveBankFX
SDEF,SDefs
MUCT,CompositionType
MUSC,Composition
MUCB,CompositionBlueprint
SCDA,ScatterData
UMBR,Visibility
SVIS,StaticVisibility
MATT,RenderMaterialEntityType
MATB,RenderMaterialEntityBlueprint
IEST,RenderIES
CURT,RenderCurveTexture
KSRE,KitSystemResource
DCLP,DecalPreset
IRRV,GIProbes
PHHA,HairAsset
PHAT,HairAssetEntityType
PHAB,HairAssetEntityBlueprint
ALOC,Physics
CLAY,CollisionLayers
APEX,Apex
TELI,TextList
TELN,TextLine
LOCM,MultiLanguageResource
LOCR,Localization
GFXF,GFxResource
FONT,FontDefinitions
FXAS,AnimSet
FXAC,Actor
TEMP,Template
SPWT,SpawnerEntityType
SPWB,SpawnerEntityBlueprint
SCOT,ScriptingOpEntityType
SCOB,ScriptingOpEntityBlueprint
SCRT,ScriptedRefEntityType
SCRB,ScriptedRefEntityBlueprint
SDAT,SceneData
ERES,EntityResource
DPET,DataEntityType
DPEB,DataBlueprint
CPPT,CppEntityType
CBLU,CppEntityBlueprint
ASET,AspectEntityType
ASEB,AspectEntityBlueprint
